when using hse as pll input
hse is 25MHz

fs: 16 MHz 16000000  m: 60, n: 360, q:  2, p: 6
fs: 16 MHz 16000000  m: 61, n: 366, q:  2, p: 6
fs: 16 MHz 16000000  m: 62, n: 372, q:  2, p: 6
fs: 16 MHz 16000000  m: 63, n: 378, q:  2, p: 6
fs: 18 MHz 18000000  m:  6, n:  54, q:  3, p: 8
fs: 18 MHz 18000000  m:  7, n:  63, q:  3, p: 8
fs: 18 MHz 18000000  m:  8, n:  72, q:  3, p: 8
fs: 18 MHz 18000000  m:  9, n:  81, q:  3, p: 8
fs: 18 MHz 18000000  m: 10, n:  90, q:  3, p: 8
fs: 18 MHz 18000000  m: 11, n:  99, q:  3, p: 8
fs: 18 MHz 18000000  m: 12, n: 108, q:  3, p: 8
fs: 18 MHz 18000000  m: 13, n: 117, q:  3, p: 8
fs: 18 MHz 18000000  m: 14, n: 126, q:  3, p: 8
fs: 18 MHz 18000000  m: 15, n: 135, q:  3, p: 8
fs: 18 MHz 18000000  m: 16, n: 144, q:  3, p: 8
fs: 18 MHz 18000000  m: 17, n: 153, q:  3, p: 8
fs: 18 MHz 18000000  m: 18, n: 162, q:  3, p: 8
fs: 18 MHz 18000000  m: 19, n: 171, q:  3, p: 8
fs: 18 MHz 18000000  m: 20, n: 180, q:  3, p: 8
fs: 18 MHz 18000000  m: 21, n: 189, q:  3, p: 8
fs: 18 MHz 18000000  m: 22, n: 198, q:  3, p: 8
fs: 18 MHz 18000000  m: 23, n: 207, q:  3, p: 8
fs: 18 MHz 18000000  m: 24, n: 216, q:  3, p: 8
fs: 18 MHz 18000000  m: 25, n: 225, q:  3, p: 8
fs: 18 MHz 18000000  m: 26, n: 234, q:  3, p: 8
fs: 18 MHz 18000000  m: 27, n: 243, q:  3, p: 8
fs: 18 MHz 18000000  m: 28, n: 252, q:  3, p: 8
fs: 18 MHz 18000000  m: 29, n: 261, q:  3, p: 8
fs: 18 MHz 18000000  m: 30, n: 270, q:  3, p: 8
fs: 18 MHz 18000000  m: 31, n: 279, q:  3, p: 8
fs: 18 MHz 18000000  m: 32, n: 288, q:  3, p: 8
fs: 18 MHz 18000000  m: 33, n: 297, q:  3, p: 8
fs: 18 MHz 18000000  m: 34, n: 306, q:  3, p: 8
fs: 18 MHz 18000000  m: 35, n: 315, q:  3, p: 8
fs: 18 MHz 18000000  m: 36, n: 324, q:  3, p: 8
fs: 18 MHz 18000000  m: 37, n: 333, q:  3, p: 8
fs: 18 MHz 18000000  m: 38, n: 342, q:  3, p: 8
fs: 18 MHz 18000000  m: 39, n: 351, q:  3, p: 8
fs: 18 MHz 18000000  m: 40, n: 360, q:  3, p: 8
fs: 18 MHz 18000000  m: 41, n: 369, q:  3, p: 8
fs: 18 MHz 18000000  m: 42, n: 378, q:  3, p: 8
fs: 18 MHz 18000000  m: 43, n: 387, q:  3, p: 8
fs: 18 MHz 18000000  m: 44, n: 396, q:  3, p: 8
fs: 18 MHz 18000000  m: 45, n: 405, q:  3, p: 8
fs: 18 MHz 18000000  m: 46, n: 414, q:  3, p: 8
fs: 18 MHz 18000000  m: 47, n: 423, q:  3, p: 8
fs: 18 MHz 18000000  m: 48, n: 432, q:  3, p: 8
fs: 24 MHz 24000000  m:  5, n:  60, q:  4, p: 8
fs: 24 MHz 24000000  m:  6, n:  54, q:  3, p: 6
fs: 24 MHz 24000000  m:  6, n:  72, q:  4, p: 8
fs: 24 MHz 24000000  m:  7, n:  63, q:  3, p: 6
fs: 24 MHz 24000000  m:  7, n:  84, q:  4, p: 8
fs: 24 MHz 24000000  m:  8, n:  72, q:  3, p: 6
fs: 24 MHz 24000000  m:  8, n:  96, q:  4, p: 8
fs: 24 MHz 24000000  m:  9, n:  54, q:  2, p: 4
fs: 24 MHz 24000000  m:  9, n:  81, q:  3, p: 6
fs: 24 MHz 24000000  m:  9, n: 108, q:  4, p: 8
fs: 24 MHz 24000000  m: 10, n:  60, q:  2, p: 4
fs: 24 MHz 24000000  m: 10, n:  90, q:  3, p: 6
fs: 24 MHz 24000000  m: 10, n: 120, q:  4, p: 8
fs: 24 MHz 24000000  m: 11, n:  66, q:  2, p: 4
fs: 24 MHz 24000000  m: 11, n:  99, q:  3, p: 6
fs: 24 MHz 24000000  m: 11, n: 132, q:  4, p: 8
fs: 24 MHz 24000000  m: 12, n:  72, q:  2, p: 4
fs: 24 MHz 24000000  m: 12, n: 108, q:  3, p: 6
fs: 24 MHz 24000000  m: 12, n: 144, q:  4, p: 8
fs: 24 MHz 24000000  m: 13, n:  78, q:  2, p: 4
fs: 24 MHz 24000000  m: 13, n: 117, q:  3, p: 6
fs: 24 MHz 24000000  m: 13, n: 156, q:  4, p: 8
fs: 24 MHz 24000000  m: 14, n:  84, q:  2, p: 4
fs: 24 MHz 24000000  m: 14, n: 126, q:  3, p: 6
fs: 24 MHz 24000000  m: 14, n: 168, q:  4, p: 8
fs: 24 MHz 24000000  m: 15, n:  90, q:  2, p: 4
fs: 24 MHz 24000000  m: 15, n: 135, q:  3, p: 6
fs: 24 MHz 24000000  m: 15, n: 180, q:  4, p: 8
fs: 24 MHz 24000000  m: 16, n:  96, q:  2, p: 4
fs: 24 MHz 24000000  m: 16, n: 144, q:  3, p: 6
fs: 24 MHz 24000000  m: 16, n: 192, q:  4, p: 8
fs: 24 MHz 24000000  m: 17, n: 102, q:  2, p: 4
fs: 24 MHz 24000000  m: 17, n: 153, q:  3, p: 6
fs: 24 MHz 24000000  m: 17, n: 204, q:  4, p: 8
fs: 24 MHz 24000000  m: 18, n: 108, q:  2, p: 4
fs: 24 MHz 24000000  m: 18, n: 162, q:  3, p: 6
fs: 24 MHz 24000000  m: 18, n: 216, q:  4, p: 8
fs: 24 MHz 24000000  m: 19, n: 114, q:  2, p: 4
fs: 24 MHz 24000000  m: 19, n: 171, q:  3, p: 6
fs: 24 MHz 24000000  m: 19, n: 228, q:  4, p: 8
fs: 24 MHz 24000000  m: 20, n: 120, q:  2, p: 4
fs: 24 MHz 24000000  m: 20, n: 180, q:  3, p: 6
fs: 24 MHz 24000000  m: 20, n: 240, q:  4, p: 8
fs: 24 MHz 24000000  m: 21, n: 126, q:  2, p: 4
fs: 24 MHz 24000000  m: 21, n: 189, q:  3, p: 6
fs: 24 MHz 24000000  m: 21, n: 252, q:  4, p: 8
fs: 24 MHz 24000000  m: 22, n: 132, q:  2, p: 4
fs: 24 MHz 24000000  m: 22, n: 198, q:  3, p: 6
fs: 24 MHz 24000000  m: 22, n: 264, q:  4, p: 8
fs: 24 MHz 24000000  m: 23, n: 138, q:  2, p: 4
fs: 24 MHz 24000000  m: 23, n: 207, q:  3, p: 6
fs: 24 MHz 24000000  m: 23, n: 276, q:  4, p: 8
fs: 24 MHz 24000000  m: 24, n: 144, q:  2, p: 4
fs: 24 MHz 24000000  m: 24, n: 216, q:  3, p: 6
fs: 24 MHz 24000000  m: 24, n: 288, q:  4, p: 8
fs: 24 MHz 24000000  m: 25, n: 150, q:  2, p: 4
fs: 24 MHz 24000000  m: 25, n: 225, q:  3, p: 6
fs: 24 MHz 24000000  m: 25, n: 300, q:  4, p: 8
fs: 24 MHz 24000000  m: 26, n: 156, q:  2, p: 4
fs: 24 MHz 24000000  m: 26, n: 234, q:  3, p: 6
fs: 24 MHz 24000000  m: 26, n: 312, q:  4, p: 8
fs: 24 MHz 24000000  m: 27, n: 162, q:  2, p: 4
fs: 24 MHz 24000000  m: 27, n: 243, q:  3, p: 6
fs: 24 MHz 24000000  m: 27, n: 324, q:  4, p: 8
fs: 24 MHz 24000000  m: 28, n: 168, q:  2, p: 4
fs: 24 MHz 24000000  m: 28, n: 252, q:  3, p: 6
fs: 24 MHz 24000000  m: 28, n: 336, q:  4, p: 8
fs: 24 MHz 24000000  m: 29, n: 174, q:  2, p: 4
fs: 24 MHz 24000000  m: 29, n: 261, q:  3, p: 6
fs: 24 MHz 24000000  m: 29, n: 348, q:  4, p: 8
fs: 24 MHz 24000000  m: 30, n: 180, q:  2, p: 4
fs: 24 MHz 24000000  m: 30, n: 270, q:  3, p: 6
fs: 24 MHz 24000000  m: 30, n: 360, q:  4, p: 8
fs: 24 MHz 24000000  m: 31, n: 186, q:  2, p: 4
fs: 24 MHz 24000000  m: 31, n: 279, q:  3, p: 6
fs: 24 MHz 24000000  m: 31, n: 372, q:  4, p: 8
fs: 24 MHz 24000000  m: 32, n: 192, q:  2, p: 4
fs: 24 MHz 24000000  m: 32, n: 288, q:  3, p: 6
fs: 24 MHz 24000000  m: 32, n: 384, q:  4, p: 8
fs: 24 MHz 24000000  m: 33, n: 198, q:  2, p: 4
fs: 24 MHz 24000000  m: 33, n: 297, q:  3, p: 6
fs: 24 MHz 24000000  m: 33, n: 396, q:  4, p: 8
fs: 24 MHz 24000000  m: 34, n: 204, q:  2, p: 4
fs: 24 MHz 24000000  m: 34, n: 306, q:  3, p: 6
fs: 24 MHz 24000000  m: 34, n: 408, q:  4, p: 8
fs: 24 MHz 24000000  m: 35, n: 210, q:  2, p: 4
fs: 24 MHz 24000000  m: 35, n: 315, q:  3, p: 6
fs: 24 MHz 24000000  m: 35, n: 420, q:  4, p: 8
fs: 24 MHz 24000000  m: 36, n: 216, q:  2, p: 4
fs: 24 MHz 24000000  m: 36, n: 324, q:  3, p: 6
fs: 24 MHz 24000000  m: 36, n: 432, q:  4, p: 8
fs: 24 MHz 24000000  m: 37, n: 222, q:  2, p: 4
fs: 24 MHz 24000000  m: 37, n: 333, q:  3, p: 6
fs: 24 MHz 24000000  m: 38, n: 228, q:  2, p: 4
fs: 24 MHz 24000000  m: 38, n: 342, q:  3, p: 6
fs: 24 MHz 24000000  m: 39, n: 234, q:  2, p: 4
fs: 24 MHz 24000000  m: 39, n: 351, q:  3, p: 6
fs: 24 MHz 24000000  m: 40, n: 240, q:  2, p: 4
fs: 24 MHz 24000000  m: 40, n: 360, q:  3, p: 6
fs: 24 MHz 24000000  m: 41, n: 246, q:  2, p: 4
fs: 24 MHz 24000000  m: 41, n: 369, q:  3, p: 6
fs: 24 MHz 24000000  m: 42, n: 252, q:  2, p: 4
fs: 24 MHz 24000000  m: 42, n: 378, q:  3, p: 6
fs: 24 MHz 24000000  m: 43, n: 258, q:  2, p: 4
fs: 24 MHz 24000000  m: 43, n: 387, q:  3, p: 6
fs: 24 MHz 24000000  m: 44, n: 264, q:  2, p: 4
fs: 24 MHz 24000000  m: 44, n: 396, q:  3, p: 6
fs: 24 MHz 24000000  m: 45, n: 270, q:  2, p: 4
fs: 24 MHz 24000000  m: 45, n: 405, q:  3, p: 6
fs: 24 MHz 24000000  m: 46, n: 276, q:  2, p: 4
fs: 24 MHz 24000000  m: 46, n: 414, q:  3, p: 6
fs: 24 MHz 24000000  m: 47, n: 282, q:  2, p: 4
fs: 24 MHz 24000000  m: 47, n: 423, q:  3, p: 6
fs: 24 MHz 24000000  m: 48, n: 288, q:  2, p: 4
fs: 24 MHz 24000000  m: 48, n: 432, q:  3, p: 6
fs: 24 MHz 24000000  m: 49, n: 294, q:  2, p: 4
fs: 24 MHz 24000000  m: 50, n: 300, q:  2, p: 4
fs: 24 MHz 24000000  m: 51, n: 306, q:  2, p: 4
fs: 24 MHz 24000000  m: 52, n: 312, q:  2, p: 4
fs: 24 MHz 24000000  m: 53, n: 318, q:  2, p: 4
fs: 24 MHz 24000000  m: 54, n: 324, q:  2, p: 4
fs: 24 MHz 24000000  m: 55, n: 330, q:  2, p: 4
fs: 24 MHz 24000000  m: 56, n: 336, q:  2, p: 4
